01.01.2018,"Nouvel an"
19.03.2018,"St-Joseph"
10.05.2018,"Ascension"
31.05.2018,"Fete Dieu"
01.08.2018,"1er Aout"
15.08.2018,"Assomption"
01.11.2018,"Toussaint"
08.12.2018,"Immaculee conception"
25.12.2018,"Noel"
01.01.2019,"Nouvel an"
19.03.2019,"St-Joseph"
30.05.2019,"Ascension"
20.06.2019,"Fete Dieu"
01.08.2019,"1er Aout"
15.08.2019,"Assomption"
01.11.2019,"Toussaint"
08.12.2019,"Immaculee conception"
25.12.2019,"Noel"
